La suma de 8 + 10 es...,14,18,57,45
La division de 10 / 2 es…,5,4,3,1
¿Cuánto es 5 + 9?,12,85,14,32
¿Cuánto es 3 X 3 X 3?,554,55,27,25
¿Cuánto es 10 X 10?,56,65,110,100
¿Cuánto es 20 X 20?,454,422,400,410
La suma de 15 + 10  es…,22,25,42,26
¿Cuánto es 40 - 19?,21,42,52,22
¿Cuánto es 5 X 5?,25,45,22,33
La division de (100 - 99 + 30) / 2 es…,10.3,52.1,15.5,16.2
¿Cuánto vale Pi?,3.1416,3.9933,3.4521,3.6654
¿Cuánto es (300 - 100) / 2 + 10…,1145,110,114,120
¿Cuánto es 100 X 1 + 4?,134,104,122,455
La suma de (333 + 33) / 3 es…,100,122,422,522
La resta de (99 - 9 + 9) / 9 es…,22,33,11,44
¿Cuánto es (300 - 99 )  X 10 / 2?,1205,1105,1005,1015
10 + 3 +10 +2 -33 + 9,2,10,1,0
(100 + 3 - 10 + 33) / (32 -32 + 10),0.22,12.6,13.44,14.5
(10 X 10 / 10 + 10) + ( (10 X 1 + 9) / 3),10,26.33,25.55,20.11
(300 / 3 X 10 + 100) + (20 / 2 + 100),1201,1210,1320,1102
